                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.621,                 5.3567,                 1.7256,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070125,              0.0033194,              0.0033194
                      1,                 1.3662,                 2.2557,                 1.4706,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.039993,              0.0065211,              0.0065211
                      2,                 1.3902,                 2.0068,                 1.4782,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097295,              0.0095907,              0.0095907
                      3,                 1.4667,                 2.0872,                 1.5465,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009406,               0.009406,               0.009406
                      4,                 1.4366,                 1.9181,                 1.5174,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009406,               0.009406,               0.009406
                      5,                 1.3986,                 1.7391,                 1.4902,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009208,               0.009208,               0.009208
                      6,                 1.3457,                 1.6267,                 1.4547,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                      7,                 1.3185,                 1.5158,                 1.4371,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008812,               0.008812,               0.008812
                      8,                 1.2912,                 1.4327,                 1.4162,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008614,               0.008614,               0.008614
                      9,                  1.232,                 1.3571,                  1.387,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008416,               0.008416,               0.008416
                     10,                   1.22,                 1.3025,                 1.3732,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008218,               0.008218,               0.008218
                     11,                 1.1808,                 1.2323,                 1.3543,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00802,                0.00802,                0.00802
                     12,                 1.1706,                 1.1828,                 1.3403,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007822,               0.007822,               0.007822
                     13,                  1.141,                 1.1441,                 1.3076,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007624,               0.007624,               0.007624
